time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
"2017-04-21T04:00:29.580Z,-2.1425,99.6746,27.15,5.3,mb,,59,2.806,0.64,us,us10008jfy,2017-04-21T12:02:57.072Z,""79km SE of Muara Siberut, Indonesia"",earthquake,2.9,5.3,0.058,101,reviewed,us,us"
"2017-04-21T02:36:56.346Z,61.4965,-151.9366,16.5,3.1,ml,,,,0.98,ak,ak15795756,2017-04-21T17:07:19.162Z,""96km NNW of Nikiski, Alaska"",earthquake,,0.1,,,reviewed,ak,ak"
"2017-04-21T02:25:12.940Z,38.7918333,-122.7778333,3.68,2.49,md,78,48,0.007995,0.06,nc,nc72791586,2017-04-22T04:45:42.227Z,""2km NW of The Geysers, California"",earthquake,0.12,0.17,0.196,57,reviewed,nc,nc"
"2017-04-21T00:55:45.180Z,42.5585,75.122,7.55,4.2,mb,,58,0.443,1.24,us,us10008jfb,2017-04-23T00:53:22.531Z,""31km SSW of Staraya Pokrovka, Kyrgyzstan"",earthquake,3.9,5.5,0.167,10,reviewed,us,us"
"2017-04-21T00:41:54.340Z,42.5761,75.1387,9.74,4.2,mb,,58,0.444,1.38,us,us10008jf7,2017-04-23T00:58:22.797Z,""29km SSW of Staraya Pokrovka, Kyrgyzstan"",earthquake,2.3,4.7,0.141,14,reviewed,us,us"
"2017-04-21T00:07:04.730Z,-10.9055,164.6368,10,4.7,mb,,113,4.841,0.95,us,us10008jf4,2017-04-21T00:31:03.040Z,""132km W of Lata, Solomon Islands"",earthquake,9.3,1.2,0.07,62,reviewed,us,us"
"2017-04-20T23:24:48.050Z,18.2078,-69.3757,58.02,4.2,mb,,56,0.573,0.84,us,us10008jet,2017-04-23T05:46:34.038Z,""29km SSW of San Pedro de Macoris, Dominican Republic"",earthquake,5.5,11,0.092,33,reviewed,us,us"
"2017-04-20T22:59:22.960Z,-20.5682,-173.6444,10,5.4,mb,,77,3.801,1.13,us,us10008jeq,2017-04-24T00:14:09.040Z,""112km SE of Pangai, Tonga"",earthquake,6.7,1.7,0.041,202,reviewed,us,us"
"2017-04-20T22:37:37.700Z,19.1184,-65.3322,35,3.3,Md,10,262.8,0.80758544,0.21,pr,pr17110009,2017-04-23T00:59:51.040Z,""89km N of Culebra, Puerto Rico"",earthquake,2.2,11.3,0,8,reviewed,pr,pr"
"2017-04-20T22:04:15.390Z,-36.3696,-98.4769,10,5.1,mb,,78,13.075,1.12,us,us10008jej,2017-04-24T00:08:03.040Z,""Southeast of Easter Island"",earthquake,12.3,1.8,0.04,197,reviewed,us,us"
